1000 10
4922 134 61
7606 486 91
9953 510 118
11805 680 78
25810 265 151
33273 84 63
34328 189 75
36061 154 37
40906 190 62
59584 774 164
0 0 0 0
1 0 0 0
2 4922 35 211
3 0 0 0
4 34328 7 766
5 40906 27 753
6 34328 56 963
7 40906 33 369
8 25810 80 162
9 25810 139 320
10 4922 44 239
11 25810 73 976
12 34328 2 63
13 4922 28 266
14 34328 10 147
15 40906 41 454
16 7606 48 17
17 7606 49 18
18 7606 50 144
19 25810 66 229
20 25810 83 56
21 11805 39 22
22 11805 40 23
23 11805 41 24
24 11805 42 25
25 11805 43 26
26 11805 44 716
27 25810 17 724
28 7606 32 29
29 7606 33 30
30 7606 34 74
31 25810 31 368
32 4922 33 128
33 40906 50 723
34 25810 148 47
35 34328 45 996
36 25810 20 444
37 40906 5 117
38 0 0 0
39 40906 43 399
40 25810 124 268
41 0 0 0
42 4922 8 413
43 40906 10 212
44 25810 111 217
45 0 0 0
46 40906 19 83
47 25810 149 337
48 0 0 0
49 25810 50 64
50 34328 41 498
51 0 0 0
52 7606 77 53
53 7606 78 988
54 25810 39 632
55 0 0 0
56 25810 84 118
57 33273 41 58
58 33273 42 59
59 33273 43 60
60 33273 44 61
61 33273 45 62
62 33273 46 479
63 34328 3 146
64 25810 51 439
65 0 0 0
66 11805 56 67
67 11805 57 68
68 11805 58 69
69 11805 59 70
70 11805 60 71
71 11805 61 72
72 11805 62 346
73 25810 77 670
74 7606 35 75
75 7606 36 76
76 7606 37 77
77 7606 38 169
78 25810 76 73
79 4922 13 310
80 25810 110 44
81 40906 15 669
82 25810 59 466
83 40906 20 379
84 33273 1 85
85 33273 2 86
86 33273 3 422
87 34328 43 264
88 7606 59 89
89 7606 60 769
90 25810 55 712
91 11805 33 92
92 11805 34 93
93 11805 35 94
94 11805 36 95
95 11805 37 96
96 11805 38 21
97 34328 53 216
98 40906 32 7
99 0 0 0
100 25810 119 308
101 4922 18 109
102 25810 63 140
103 0 0 0
104 25810 27 660
105 34328 19 442
106 0 0 0
107 34328 52 97
108 34328 70 378
109 4922 19 242
110 25810 116 330
111 4922 58 249
112 7606 53 113
113 7606 54 114
114 7606 55 629
115 25810 143 955
116 25810 45 354
117 40906 6 224
118 25810 85 990
119 25810 95 640
120 0 0 0
121 25810 127 666
122 36061 6 123
123 36061 7 124
124 36061 8 759
125 34328 62 628
126 4922 32 32
127 25810 9 962
128 4922 34 2
129 40906 59 471
130 34328 64 240
131 7606 18 132
132 7606 19 133
133 7606 20 376
134 4922 1 668
135 0 0 0
136 11805 77 137
137 11805 78 1
138 0 0 0
139 25810 121 651
140 25810 64 762
141 4922 10 499
142 34328 51 107
143 40906 46 641
144 7606 51 145
145 7606 52 112
146 34328 4 278
147 34328 11 742
148 11805 69 149
149 11805 70 150
150 11805 71 384
151 25810 108 335
152 7606 16 153
153 7606 17 131
154 36061 1 155
155 36061 2 156
156 36061 3 157
157 36061 4 158
158 36061 5 122
159 34328 28 497
160 4922 5 288
161 0 0 0
162 25810 81 191
163 11805 6 164
164 11805 7 165
165 11805 8 166
166 11805 9 167
167 11805 10 389
168 25810 53 992
169 7606 39 170
170 7606 40 171
171 7606 41 317
172 4922 41 445
173 25810 35 452
174 25810 97 470
175 4922 61 1
176 11805 50 177
177 11805 51 178
178 11805 52 179
179 11805 53 180
180 11805 54 181
181 11805 55 66
182 11805 21 183
183 11805 22 184
184 11805 23 642
185 25810 57 478
186 7606 6 187
187 7606 7 188
188 7606 8 676
189 34328 1 12
190 40906 1 995
191 25810 82 20
192 34328 55 6
193 0 0 0
194 34328 30 361
195 4922 55 293
196 7606 86 197
197 7606 87 262
198 25810 123 40
199 0 0 0
200 0 0 0
201 34328 21 689
202 34328 25 302
