200 5
11635 171 40
12300 179 61
15076 53 11
22291 60 53
31807 156 25
0 0 0 0
1 0 0 0
2 22291 39 3
3 22291 40 4
4 22291 41 5
5 22291 42 6
6 22291 43 7
7 22291 44 65
8 12300 26 196
9 15076 6 10
10 15076 7 11
11 15076 8 168
12 12300 18 174
13 22291 13 14
14 22291 14 15
15 22291 15 16
16 22291 16 17
17 22291 17 18
18 22291 18 19
19 22291 19 20
20 22291 20 21
21 22291 21 49
22 12300 33 46
23 11635 23 193
24 31807 14 25
25 31807 15 26
26 31807 16 27
27 31807 17 75
28 12300 23 146
29 15076 11 1
30 12300 16 100
31 0 0 0
32 11635 36 118
33 0 0 0
34 12300 6 141
35 31807 5 36
36 31807 6 37
37 31807 7 111
38 12300 55 88
39 31807 21 40
40 31807 22 41
41 31807 23 58
42 12300 25 8
43 11635 28 123
44 12300 59 162
45 11635 25 175
46 12300 34 86
47 12300 61 1
48 11635 15 189
49 22291 22 50
50 22291 23 51
51 22291 24 182
52 12300 44 167
53 15076 1 54
54 15076 2 55
55 15076 3 106
56 12300 3 69
57 0 0 0
58 31807 24 59
59 31807 25 1
60 22291 1 61
61 22291 2 62
62 22291 3 63
63 22291 4 96
64 12300 50 102
65 22291 45 66
66 22291 46 67
67 22291 47 70
68 12300 5 34
69 12300 4 68
70 22291 48 71
71 22291 49 72
72 22291 50 73
73 22291 51 128
74 12300 47 153
75 31807 18 76
76 31807 19 77
77 31807 20 39
78 12300 12 114
79 0 0 0
80 11635 2 178
81 12300 53 177
82 31807 11 83
83 31807 12 84
84 31807 13 24
85 12300 2 56
86 12300 35 188
87 11635 33 197
88 12300 56 154
89 11635 35 32
90 11635 11 105
91 12300 41 198
92 11635 17 172
93 11635 14 48
94 12300 49 64
95 11635 4 121
96 22291 5 97
97 22291 6 98
98 22291 7 99
99 22291 8 136
100 12300 17 12
101 11635 6 109
102 12300 51 108
103 11635 38 155
104 12300 37 134
105 11635 12 163
106 15076 4 107
107 15076 5 9
108 12300 52 81
109 11635 7 117
110 12300 20 191
111 31807 8 112
112 31807 9 113
113 31807 10 82
114 12300 13 126
115 11635 19 125
116 12300 29 176
117 11635 8 147
118 11635 37 103
119 11635 32 87
120 12300 31 124
121 11635 5 101
122 11635 27 43
123 11635 29 127
124 12300 32 22
125 11635 20 165
126 12300 14 180
127 11635 30 161
128 22291 52 129
129 22291 53 1
130 22291 36 131
131 22291 37 132
132 22291 38 2
133 12300 28 116
134 12300 38 173
135 0 0 0
136 22291 9 137
137 22291 10 138
138 22291 11 139
139 22291 12 13
140 12300 43 52
141 12300 7 160
142 12300 58 44
143 0 0 0
144 12300 11 78
145 12300 46 74
146 12300 24 42
147 11635 9 192
148 22291 31 149
149 22291 32 150
150 22291 33 151
151 22291 34 152
152 22291 35 130
153 12300 48 94
154 12300 57 142
155 11635 39 181
156 31807 1 157
157 31807 2 158
158 31807 3 159
159 31807 4 35
160 12300 8 194
161 11635 31 119
162 12300 60 47
163 11635 13 93
164 12300 10 144
165 11635 21 190
166 12300 22 28
167 12300 45 145
168 15076 9 169
169 15076 10 29
170 12300 40 91
171 11635 1 80
172 11635 18 115
173 12300 39 170
174 12300 19 110
175 11635 26 122
176 12300 30 120
177 12300 54 38
178 11635 3 95
179 12300 1 85
180 12300 15 30
181 11635 40 1
182 22291 25 183
183 22291 26 184
184 22291 27 185
185 22291 28 186
186 22291 29 187
187 22291 30 148
188 12300 36 104
189 11635 16 92
190 11635 22 23
191 12300 21 166
192 11635 10 90
193 11635 24 45
194 12300 9 164
195 0 0 0
196 12300 27 133
197 11635 34 89
198 12300 42 140
199 0 0 0
